,summary,generated_sequence_greedy,generated_sequence_beam,generated_sequence_topk,generated_sequence_topp
76,"John Lewis's Nottingham store is to remain closed longer than expected after 80,000 litres of hot water leaked from a ruptured heating pipe.","a store in Victoria Centre has been closed ""until further notice"".","a store in Victoria Centre has been closed ""until further notice"". Torrents of water brought down a suspended ceiling and",the stock was left in the shop after a week to break with a broken ceiling and a floor hit with the fire.,"during the Victoria Centre shopping week, the shop is now closed for the first time in two weeks."
77,"Bots appear to be spamming a US regulator's website over a proposed reversal of net neutrality rules, researchers have said.",s to the FCC have been a result of a boom in automated comments.,"to the Federal Communications Commission (FCC) over the weekend. ""Someone has gone out of their way to make these seem like real",s: has come amid widespread protest over controversial proposals such as this. to the Internet Institute has also launched a campaign to protect internet traffic that has a rise in remarks since the launch of dso,s to the Internet Club are calling for the FCC to drop more proposals on Monday.
78,New Sale Sharks chairman Fran Cotton has conceded they must work to restore their relationship with some fans.,"to be a strong rugby club, and he has promised to be active in his role. ""I think people in the early days","Sale have moved home games back to Friday nights for the season. ""I think people in the early days of moving have had a pretty",Ayenne Coal has made an announcement at sale that David Cotton will be sitting on the club's board until after an injury to his football team.,Sale have signed and won one of the Premiership's best five squads.
79,Disney's latest animation Moana dominated the Thanksgiving box office over the five-day US holiday weekend.,",,, and,, or follow us on Twitter, Instagram or Instagram.,,, a",", a film about a princess's journey in Polynesia took an estimated $81.1m (£65.3m)","at the US BBC, which have put Disney back on the charts on December 31st, 2013, after more than one year in US theaters.",", and does the same with Meg Aldea.'s Disney drama Blitz, where the greatest Christmas has been given on"
80,British number one Johanna Konta reached the quarter-finals of the Bank of the West Classic in Stanford with a straight-set win over Julia Boserup.,Konta Konta will play China's Saisai Zheng in the last eight on Friday.,Konta Konta will play China's Saisai Zheng in the last eight on Friday.,#NAME?,Konta Konta won her second round match in nearly an hour.
81,"Two men have been assaulted in Larne, County Antrim, by a gang armed with baseball bats and a hatchet.",The Police have appealed for anyone with information about the attack to contact them.,Police have appealed for anyone with information about the attack to contact them.,", Sunday at the Turnhall Road in Linn Road. Two men and three people have been taken to hospital after the attack.",A shooting is on the Linn Road in the town of Linn Road.
82,"The Ebola victim who is believed to have triggered the current outbreak - a two-year-old boy called Emile Ouamouno from Guinea - may have been infected by playing in a hollow tree housing a colony of bats, say scientists.",",,, and they found a tree stump in the village of Meliandou.,,, and","of the Ebola virus. The researchers at Meliandou University, Germany, have found that the bats carry the virus.",s of a bat. They have also collected bats in a small village in a small city called Meleandou. It's very rare to have an incensive fossil of Abola ,"of Ebola is a rare rare occurrence in and had eaten on one of the birds.,, is the"
83,Stuart Bingham may pull out of the Masters if his wife goes into labour with their third child.,has said he would play in the 2016 World Championship if his wife gives birth before his first round match against Joe Perry.,has said he'd have to talk to his wife before his first-round match against Joe Perry.,"of England at the World Championships in England, and has asked her to stay on the way to a week-round match.",because of his wife's absence from his first-round game at the Essex World Championship.
84,"Part of Colwyn Bay pier is to be dismantled after it collapsed into the sea, Conwy council has decided.",is expected to take about three weeks to complete. structure is expected to be re-opened in the summer. to be completed,"has been set aside for work on the ""dangerous"" Grade ll pier, which gave way on 1 February.","has already been fixed for three weeks. is under construction, and £650,000 has been set aside for the new building.",has been declared the problem of the Grade ll pier.
85,A campaign group has been granted a hearing to examine the case for a judicial review of the decision to build student flats near a beauty spot.,", and the University of Oxford has a ""researched"" approach to mitigate the impact of the buildings on Oxfordshire's",". ""We are not convinced that the planning condition on contamination has been met,"" a CPRE spokesman said.","it would want to move into the same land that in Oxfordshire, despite the findings of this review.",the surrounding buildings. The City Council has urged the University to consider the possible environmental impacts of the development.
86,Pupils at seven schools could have shorter days after a trust head say he may have to cut hours to save money.,",,,,,,,, has warned parents of the ""unthinkable"" decisions the Trust","to cut funding for schools in England. ""It's shocking - I don't know what I'd do work-","- despite the funding cuts being made, parents of a school with a daughter called them ""diabolical"". A union said it was ""terrible"" to do so and has written a letter asking",an Avery Centre and the Government of England (DfE) has said it will not face spending pressures over schools in England.
87,"The Paris climate agreement could make millions of forest dwellers homeless, according to a new analysis.",",,,,s have legal rights to just 10% of the land in the world.s have been displaced",",,,.s have legal rights to just 10% of the land in Liberia...",", is a big reason for this sort of displacement, but the international community will not want to discourage indigenous indigenous peoples from opening forest lands.","and the that the international community has chosen to stop creating national parks to help people in their own land., and the international community"
88,"More human remains have been found near a motorway slip road in Shropshire, police have said.",a human skull was found near the M54 slip road.,a human skull was found near a junction four roundabout near Telford.,"has been found. Police, with MRIs and other traces of ""a thigh"" are still being found near a crossabout junction four near Telford in Nottingham.",in a nearby Loch Willymo Memorial Memorial.
89,Uzbekistan's Hasanboy Dusmatov won Olympic gold in the men's light-flyweight with victory over Colombian Yuberjen Herney Martinez.,"...... is not supported on this device. Dusmatov, 23, was","Dusmatov, 23, was awarded a unanimous points victory - two judges scoring the fight 30-27, and one 29-","has been awarded a medal, and two judges in the final of the Olympic Olympic boxing finals won.",and win bronze.
90,"University lecturers are due to start a two-day strike over pay, amid warnings other staff could join the dispute.",",,,,, and, a University and College Union spokesman said. to strike in the",", the University and College Union says the 1.1% rise offered by the universities is ""an insult"" to hardworking staff.",":, for example, and ""nive"", however, the UCU say, with Unions recommending that an existing strike would be to be taken back to the table. and unions are taking any action to","or says the Student Union is ""so disinterested"" in their choice of an offer of 1.1% to higher education staff"
91,Controversial proposals to shut a Catholic school in East Dunbartonshire are to be examined by the Scottish government.,"to close a school in the Scottish Highlands. ""We have a very clear plan to close a school in the Scottish Highland","The Scottish Government has called in proposals to close a school in Scotland. ""This is a complex process and it's understandable","Government has had to take into account the Scottish government's decision. ""Targetably, there are more difficult circumstances,"" Mrs Geekie said, at the end of the council.",to use school at the centre of this transformation and now be called in to assess and review the plans.
92,Japanese footballer Kazuyoshi Miura has signed a one-year contract extension with Yokohama FC at the age of 48.,", Japan's former Brazilian striker Kazu Miura has signed a new contract with the club.",'s Kazuyoshi is the oldest scorer in Japanese football - a winner in a second division match four months,Nationals (FAO) and New Zealand striker Ki Miura has signed a new contract with the club.,#NAME?
93,Clashes have broken out in Indian-administered Kashmir on the anniversary of the killing of a militant leader.,has been re-elected as a leader in Kashmir.,has revived the image of militancy in Indian-administered Kashmir.,"a man has died as he walked to the border with Islamabad last week, and was wounded while attempting to turn to his neighbor, Ahmed Wani.",", Kashmir. on Saturday, dozens of Indian soldiers were killed in an Indian shooting. has has killed dozens of"
94,Economic policymakers must now decide whether and how they should respond to the UK's vote to leave the EU.,",,,,,,,,,,, a rise in the currency","in the European Union, the Bank of England has decided to take action on the issue of foreign currency liquidity.",. The Bank of England may also take the risk of falling and the EU must sign a voluntary referendum in the end. The European Crisis Risk Assessment (ECB) should agree it with the EU and are prepared to take action early.,and the Crisis in Britain. It is another indicator that central banks will have to adjust to short term fluctuations in the European currency market.
95,Sale Sharks forward Mark Easter has announced he will retire at the end of the season to take up a teaching role.,Easter has been a great coach at Sale since joining the club in 2011.,Easter has joined Sale in 2011 after six years at Northampton.,Easter has decided to leave Sale in 2011 after six weeks at Northampton.,has returned to Northampton after his debut in Portsmouth last season.
96,"The quality of care on a scandal-hit ward for dementia patients may have contributed to at least seven deaths, BBC Wales can reveal.",",,,, has been a major contributor to the deaths of some patients. has been reopened.",", the health board said: ""We are very much engaged in a thorough search for the truth about the Tawel Fan ward"".",that a public health board has conducted an investigation in the death of one of its patients.,over the years. A public health board report into a Health and Social Care Board investigating the death of a family member has been published
97,A 25-year-old man from Limavady has been jailed for knocking out two men in separate attacks on the same night.,a second man was punched and knocked out when he came across the first victim lying unconscious on Market Street.,'single punch' assaults on Market Street in Limavady on 2 October 2014. A second man suffered a double,A.F.C. Court in London said he was victim of'single punch' attack on two innocent people.,A'mysterious' punch was used in the early years of'single punch' assaults in Limavad
98,The United States women's team goalkeeper Hope Solo has been suspended for 30 days by US Soccer following an incident during a training camp.,has been arrested on suspicion of driving under the influence in Los Angeles.,was arrested on suspicion of driving under the influence in Los Angeles on Monday.,has been arrested over a car collision as fellow US Soccer player Jo Solo was driving under the influence at the Olympic Games.,"is being held in a camp in San Francisco, California, in response to an unnamed woman arrested in the incident."
99,A barrister who was due to move into his own chambers in Huddersfield has pleaded guilty to supplying cocaine.,",,, has been arrested for conspiracy to supply the Class A drug.,, of Huddersfield, and",has been charged with conspiracy to supply a Class A drug.,"on May 25, 2017. He was sentenced Tuesday following a lengthy trial at a West Midlands Court. They appear in a court to admit conspiracy to supply the class A (Class A) drug.",#NAME?
